pm25,pm10,o3,no2,so2,co,date
0.20833333333333334,0.20833333333333334,0.3877551020408163,0.52,0.2,0.4,2021-12-20
0.3229166666666667,0.5,0.2857142857142857,0.72,0.2,0.6,2021-12-21
0.75,0.5833333333333334,0.40816326530612246,0.52,0.4,0.5,2021-12-22
0.8541666666666666,0.7083333333333334,0.2653061224489796,0.4,0.4,0.5,2021-12-23
0.9479166666666666,0.3333333333333333,0.4897959183673469,0.32,0.2,0.5,2021-12-24
0.6145833333333334,0.25,0.46938775510204084,0.48,0.2,0.5,2021-12-25
0.3645833333333333,0.5833333333333334,0.24489795918367346,0.84,0.2,0.6,2021-12-26
0.7916666666666666,0.4166666666666667,0.2857142857142857,0.28,0.2,0.5,2021-12-27
0.875,2.1041666666666665,0.10204081632653061,0.44,0.2,0.7,2021-12-28
0.6145833333333334,1.7951388888888888,0.12244897959183673,0.36,0.2,0.7,2021-12-29
0.5625,1.4861111111111112,0.20408163265306123,0.44,0.2,0.7,2021-12-30
0.5625,1.1770833333333333,0.32653061224489793,0.24,0.2,0.5,2021-12-31
0.6145833333333334,0.8680555555555556,0.32653061224489793,0.4,0.2,0.6,2022-01-01
0.3541666666666667,0.5590277777777779,0.42857142857142855,0.4,0.2,0.6,2022-01-02
0.3645833333333333,0.25,0.3673469387755102,0.28,0.2,0.6,2022-01-03
0.3020833333333333,0.1875,0.46938775510204084,0.36,0.2,0.5,2022-01-04
0.2604166666666667,0.16666666666666666,0.40816326530612246,0.24,0.2,0.4,2022-01-05
0.20833333333333334,0.3333333333333333,0.3877551020408163,0.64,0.2,0.4,2022-01-06
0.4791666666666667,0.6041666666666666,0.2653061224489796,0.76,0.2,0.5,2022-01-07
0.6458333333333334,0.7291666666666666,0.3469387755102041,0.48,0.2,0.4,2022-01-08
0.8541666666666666,0.7083333333333334,0.32653061224489793,0.76,0.2,0.5,2022-01-09
0.8020833333333334,0.4583333333333333,0.3877551020408163,0.52,0.2,0.3,2022-01-10
0.5625,0.7083333333333334,0.22448979591836735,0.88,0.2,0.5,2022-01-11
0.7083333333333334,0.9166666666666666,0.16326530612244897,0.84,0.2,0.7,2022-01-12
1.0833333333333333,0.2916666666666667,0.3469387755102041,0.4,0.2,0.3,2022-01-13
0.3645833333333333,0.2916666666666667,0.42857142857142855,0.52,0.2,0.4,2022-01-14
0.34375,0.75,0.22448979591836735,0.48,0.2,0.6,2022-01-15
0.9166666666666666,0.375,0.5306122448979592,0.32,0.2,0.3,2022-01-16
0.4166666666666667,0.25,0.46938775510204084,0.28,0.2,0.2,2022-01-17
0.3541666666666667,0.625,0.24489795918367346,0.88,0.2,0.5,2022-01-18
0.65625,0.5,0.40816326530612246,0.52,0.2,0.3,2022-01-19
0.6145833333333334,0.20833333333333334,0.4489795918367347,0.28,0.2,0.2,2022-01-20
0.2604166666666667,0.1875,0.4897959183673469,0.24,0.2,0.2,2022-01-21
0.20833333333333334,0.25,0.42857142857142855,0.48,0.2,0.3,2022-01-22
0.2916666666666667,0.5625,0.32653061224489793,0.8,0.2,0.5,2022-01-23
0.65625,0.7291666666666666,0.1836734693877551,0.8,0.2,0.6,2022-01-24
0.8333333333333334,0.5625,0.2653061224489796,0.64,0.2,0.5,2022-01-25
0.7395833333333334,0.3125,0.30612244897959184,0.48,0.2,0.3,2022-01-26
0.375,0.25,0.5102040816326531,0.24,0.2,0.3,2022-01-27
0.3541666666666667,0.25,0.46938775510204084,0.28,0.2,0.3,2022-01-28
0.22916666666666666,0.20833333333333334,0.5510204081632653,0.16,0.2,0.3,2022-01-29
0.2916666666666667,0.3541666666666667,0.5306122448979592,0.44,0.2,0.4,2022-01-30
0.3645833333333333,0.3958333333333333,0.4897959183673469,0.56,0.2,0.5,2022-01-31
0.5729166666666666,0.20833333333333334,0.40816326530612246,0.28,0.2,0.4,2022-02-01
0.34375,0.2708333333333333,0.32653061224489793,0.52,0.2,0.4,2022-02-02
0.34375,0.4791666666666667,0.3877551020408163,0.6,0.6,0.5,2022-02-03
0.5416666666666666,0.7916666666666666,0.5510204081632653,0.68,0.4,0.7,2022-02-04
0.8854166666666666,0.25,0.42857142857142855,0.36,0.2,0.3,2022-02-05
0.2916666666666667,0.1875,0.5102040816326531,0.24,0.2,0.2,2022-02-06
0.3125,0.25,0.42857142857142855,0.28,0.2,0.2,2022-02-07
0.3125,0.22916666666666666,0.2857142857142857,0.84,0.2,0.6,2022-02-08
0.22916666666666666,0.7083333333333334,0.3673469387755102,0.92,0.2,0.8,2022-02-09
0.7395833333333334,0.6666666666666666,0.4489795918367347,0.64,0.2,0.5,2022-02-10
0.7291666666666666,0.22916666666666666,0.4897959183673469,0.36,0.2,0.4,2022-02-11
0.3229166666666667,0.3333333333333333,0.4897959183673469,0.44,0.4,0.4,2022-02-12
0.4375,0.5625,0.40816326530612246,0.36,0.8,0.4,2022-02-13
0.65625,0.4791666666666667,0.42857142857142855,0.32,0.4,0.5,2022-02-14
0.5625,0.5208333333333334,0.3673469387755102,0.4,0.2,0.5,2022-02-15
0.6041666666666666,0.20833333333333334,0.5714285714285714,0.24,0.2,0.3,2022-02-16
0.3020833333333333,0.22916666666666666,0.4897959183673469,0.28,0.2,0.3,2022-02-17
0.23958333333333334,0.2708333333333333,0.5102040816326531,0.32,0.2,0.3,2022-02-18
0.34375,0.2708333333333333,0.4489795918367347,0.44,0.2,0.4,2022-02-19
