,pm25,pm10,o3,no2,so2,co,date
260,1.2395833333333333,0.8541666666666666,0.04081632653061224,0.68,0.4,0.7,2021-11-14
261,1.09375,1.0416666666666667,0.08163265306122448,0.84,0.4,0.7,2021-11-15
262,1.34375,0.9583333333333334,0.14285714285714285,0.76,0.4,0.5,2021-11-16
263,1.2395833333333333,0.375,0.1836734693877551,0.36,0.4,0.3,2021-11-17
264,0.5729166666666666,0.22916666666666666,0.30612244897959184,0.36,0.2,0.3,2021-11-18
265,0.4791666666666667,0.20833333333333334,0.3469387755102041,0.28,0.2,0.2,2021-11-19
266,0.40625,0.5833333333333334,0.12244897959183673,0.68,0.2,0.5,2021-11-20
267,0.8229166666666666,0.6666666666666666,0.061224489795918366,0.48,0.2,0.4,2021-11-21
268,0.9270833333333334,0.3958333333333333,0.2653061224489796,0.48,0.2,0.3,2021-11-22
269,0.6041666666666666,0.8333333333333334,0.10204081632653061,0.92,0.2,0.6,2021-11-23
270,0.9166666666666666,0.9583333333333334,0.061224489795918366,0.72,0.2,0.6,2021-11-24
271,1.1770833333333333,0.5416666666666666,0.02040816326530612,0.6,0.2,0.4,2021-11-25
272,0.8020833333333334,0.3958333333333333,0.09523809523809523,0.44,0.2,0.3,2021-11-26
273,0.6666666666666666,0.4166666666666667,0.17006802721088435,0.4,0.2,0.3,2021-11-27
274,0.6666666666666666,0.3125,0.24489795918367346,0.28,0.2,0.3,2021-11-28
275,0.5833333333333334,0.20833333333333334,0.2857142857142857,0.32,0.2,0.3,2021-11-29
276,0.375,0.20833333333333334,0.2857142857142857,0.6,0.2,0.3,2021-11-30
277,0.3020833333333333,0.25,0.16326530612244897,0.88,0.2,0.4,2021-12-01
278,0.4166666666666667,0.22916666666666666,0.32653061224489793,0.36,0.2,0.3,2021-12-02
279,0.375,0.6458333333333334,0.14285714285714285,0.88,0.2,0.7,2021-12-03
280,0.8333333333333334,0.6458333333333334,0.08163265306122448,0.44,0.6,0.5,2021-12-04
281,0.96875,0.3541666666666667,0.12244897959183673,0.4,0.2,0.5,2021-12-05
282,0.6354166666666666,0.5208333333333334,0.08163265306122448,0.36,0.2,0.5,2021-12-06
283,0.78125,0.7291666666666666,0.10204081632653061,0.68,0.2,0.7,2021-12-07
284,0.9791666666666666,0.5,0.12244897959183673,0.52,0.2,0.5,2021-12-08
285,0.8020833333333334,0.3541666666666667,0.16326530612244897,0.6,0.2,0.5,2021-12-09
286,0.6875,0.375,0.2653061224489796,0.36,0.2,0.5,2021-12-10
287,0.65625,0.3125,0.42857142857142855,0.28,0.2,0.4,2021-12-11
288,0.5625,0.4166666666666667,0.20408163265306123,0.56,0.2,0.4,2021-12-12
289,0.6770833333333334,0.8541666666666666,0.04081632653061224,1.04,0.2,1.0,2021-12-13
290,1.09375,1.0208333333333333,0.02040816326530612,0.96,0.2,0.9,2021-12-14
291,1.3333333333333333,0.7083333333333334,0.08163265306122448,0.68,0.2,0.6,2021-12-15
292,1.0208333333333333,0.20833333333333334,0.3673469387755102,0.24,0.2,0.1,2021-12-16
293,0.3645833333333333,0.20833333333333334,0.3877551020408163,0.28,0.2,0.1,2021-12-17
294,0.4375,0.25,0.32653061224489793,0.2,0.2,0.1,2021-12-18
295,0.5104166666666666,0.125,0.3877551020408163,0.24,0.2,0.1,2021-12-19
296,0.22916666666666666,0.16666666666666666,0.40816326530612246,0.36,0.2,0.1,2021-12-20
297,0.3020833333333333,0.5416666666666666,0.16326530612244897,0.92,0.2,0.3,2021-12-21
298,0.6875,0.7708333333333334,0.22448979591836735,0.76,0.2,0.5,2021-12-22
299,0.9583333333333334,0.6458333333333334,0.22448979591836735,0.68,0.4,0.3,2021-12-23
300,0.96875,0.375,0.4489795918367347,0.68,0.38,0.3,2021-12-24
301,0.625,0.20833333333333334,0.4897959183673469,0.44,0.36000000000000004,0.2,2021-12-25
302,0.34375,0.5833333333333334,0.1836734693877551,0.96,0.34,0.4,2021-12-26
303,0.7916666666666666,0.375,0.20408163265306123,0.52,0.32,0.3,2021-12-27
304,0.6145833333333334,0.375,0.061224489795918366,0.48,0.30000000000000004,0.4,2021-12-28
305,0.6458333333333334,0.4583333333333333,0.061224489795918366,0.52,0.28,0.5,2021-12-29
306,0.7291666666666666,0.3541666666666667,0.1836734693877551,0.6,0.26,0.5,2021-12-30
307,0.59375,0.25,0.32653061224489793,0.28,0.24000000000000002,0.2,2021-12-31
308,0.3958333333333333,0.3125,0.40816326530612246,0.64,0.22000000000000003,0.3,2022-01-01
309,0.5416666666666666,0.2916666666666667,0.4897959183673469,0.44,0.2,0.3,2022-01-02
213,0.4375,0.2708333333333333,0.3469387755102041,0.52,0.2,0.4,2022-01-03
214,0.4791666666666667,0.14583333333333334,0.46938775510204084,0.4,0.2,0.1,2022-01-04
215,0.2604166666666667,0.14583333333333334,0.40816326530612246,0.24,0.2,0.1,2022-01-05
216,0.21875,0.375,0.2857142857142857,0.64,0.2,0.3,2022-01-06
217,0.4791666666666667,0.6041666666666666,0.1836734693877551,0.92,0.2,0.5,2022-01-07
218,0.84375,0.7291666666666666,0.22448979591836735,0.8,0.2,0.5,2022-01-08
219,1.0208333333333333,0.7291666666666666,0.2857142857142857,0.72,0.2,0.5,2022-01-09
220,1.0104166666666667,0.375,0.3673469387755102,0.52,0.2,0.3,2022-01-10
221,0.5416666666666666,0.5416666666666666,0.2653061224489796,0.56,0.4,0.3,2022-01-11
222,0.7708333333333334,0.6666666666666666,0.3673469387755102,0.56,0.4,0.3,2022-01-12
