date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-18,42.0,8.0,12.0,7.000000000000001,1.0,6.0,,,,,,
2021-12-19,49.0,16.0,14.0,9.0,1.0,6.0,,,,,,
2021-12-20,22.0,19.0,15.999999999999998,16.0,1.0,7.0,,,,,,
2021-12-21,29.0,24.0,7.0,27.0,2.0,8.0,,,,,,
2021-12-22,66.0,29.0,9.0,24.0,2.0,9.0,,,,,,
2021-12-23,92.0,23.0,3.0,23.0,2.0,9.0,,,,,,
2021-12-24,93.0,16.0,14.0,22.0,2.0,9.0,,,,,,
2021-12-25,60.0,14.0,18.0,15.0,2.0,7.0,,,,,,
2021-12-26,33.0,21.0,7.999999999999999,27.0,1.0,10.0,,,,,,
2021-12-27,76.0,19.5,9.0,17.0,1.0,9.0,,,,,,
2021-12-28,59.0,18.0,5.0,15.0,1.0,10.0,,,,,,
2021-12-29,62.0,16.0,3.9999999999999996,15.0,2.0,11.0,,,,,,
2021-12-30,70.0,19.0,3.9999999999999996,22.0,3.0,14.0,,,,,,
2021-12-31,57.0,25.0,11.0,9.0,2.0,8.0,,,,,,
2022-01-01,38.0,14.0,7.999999999999999,20.0,2.0,10.0,,,,,,
2022-01-02,52.0,21.0,15.0,17.0,2.0,9.0,,,,,,
2022-01-03,42.0,11.0,11.0,15.0,2.0,8.0,,,,,,
2022-01-04,46.0,11.0,18.0,14.000000000000002,2.0,8.0,,,,,,
2022-01-05,25.0,9.0,15.999999999999998,8.0,2.0,7.0,,,,,,
2022-01-06,21.0,15.0,11.0,22.0,2.0,9.0,,,,,,
2022-01-07,46.0,14.0,7.999999999999999,26.0,2.0,10.0,,,,,,
2022-01-08,81.0,19.0,7.999999999999999,24.0,1.0,11.0,,,,,,
2022-01-09,98.0,24.0,12.0,21.0,1.0,7.0,,,,,,
2022-01-10,97.0,19.0,14.0,14.000000000000002,1.0,2.0,,,,,,
2022-01-11,52.0,24.0,10.0,21.0,1.0,3.0,,,,,,
2022-01-12,74.0,25.0,13.0,16.0,1.0,3.0,,,,,,
2022-01-13,87.0,11.0,12.0,10.0,1.0,3.0,,,,,,
2022-01-14,51.0,13.0,15.0,13.0,1.0,3.0,,,,,,
2022-01-15,47.0,27.0,5.0,22.0,1.0,7.0,,,,,,
2022-01-16,103.0,15.0,19.0,10.0,1.0,3.0,,,,,,
2022-01-17,42.0,11.0,15.999999999999998,8.0,1.0,2.0,,,,,,
2022-01-18,35.0,21.0,7.0,26.0,1.0,6.0,,,,,,
2022-01-19,76.0,15.0,12.0,20.0,1.0,5.0,,,,,,
2022-01-20,56.0,8.0,15.0,10.0,1.0,3.0,,,,,,
2022-01-21,23.0,11.0,17.0,6.0,1.0,3.0,,,,,,
