date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-11,63.0,14.0,21.0,5.0,1.0,4.0,,,,,,
2021-12-12,54.0,22.0,10.0,14.000000000000002,1.0,4.0,,,,,,
2021-12-13,65.0,41.0,1.9999999999999998,26.0,1.0,9.0,,,,,,
2021-12-14,105.0,49.0,0.9999999999999999,24.0,1.0,9.0,,,,,,
2021-12-15,128.0,34.0,3.9999999999999996,17.0,1.0,6.0,,,,,,
2021-12-16,98.0,10.0,18.0,6.0,1.0,1.0,,,,,,
2021-12-17,35.0,11.0,19.0,6.0,1.0,1.0,,,,,,
2021-12-18,42.0,12.0,15.999999999999998,5.0,1.0,1.0,,,,,,
2021-12-19,49.0,6.0,19.0,6.0,1.0,1.0,,,,,,
2021-12-20,22.0,9.0,20.0,9.0,1.0,1.0,,,,,,
2021-12-21,29.0,26.0,7.999999999999999,23.0,1.0,3.0,,,,,,
2021-12-22,66.0,37.0,11.0,19.0,1.0,5.0,,,,,,
2021-12-23,92.0,31.0,11.0,17.0,2.0,3.0,,,,,,
2021-12-24,93.0,18.0,22.0,17.0,1.9,3.0,,,,,,
2021-12-25,60.0,10.0,24.0,11.0,1.8000000000000003,2.0,,,,,,
2021-12-26,33.0,28.0,9.0,24.0,1.7000000000000002,4.0,,,,,,
2021-12-27,76.0,18.0,10.0,13.0,1.6,3.0,,,,,,
2021-12-28,59.0,18.0,3.0,12.0,1.5000000000000002,4.0,,,,,,
2021-12-29,62.0,22.0,3.0,13.0,1.4000000000000001,5.0,,,,,,
2021-12-30,70.0,17.0,9.0,15.0,1.3,5.0,,,,,,
2021-12-31,57.0,12.0,15.999999999999998,7.000000000000001,1.2000000000000002,2.0,,,,,,
2022-01-01,38.0,15.0,20.0,16.0,1.1,3.0,,,,,,
2022-01-02,52.0,14.0,24.0,11.0,1.0,3.0,,,,,,
2022-01-03,42.0,13.0,17.0,11.0,1.0,2.0,,,,,,
2022-01-04,46.0,7.0,23.0,10.0,1.0,1.0,,,,,,
2022-01-05,25.0,7.0,20.0,6.0,1.0,1.0,,,,,,
2022-01-06,21.0,16.0,14.0,16.0,1.0,3.0,,,,,,
2022-01-07,46.0,29.0,9.0,23.0,1.0,5.0,,,,,,
2022-01-08,81.0,35.0,11.0,20.0,1.0,5.0,,,,,,
2022-01-09,98.0,35.0,14.0,18.0,1.0,5.0,,,,,,
2022-01-10,97.0,15.0,18.0,14.000000000000002,1.0,3.0,,,,,,
2022-01-11,52.0,26.0,13.0,14.000000000000002,2.0,3.0,,,,,,
2022-01-12,74.0,32.0,18.0,14.000000000000002,2.0,3.0,,,,,,
2022-01-13,87.0,16.0,15.999999999999998,7.000000000000001,1.0,2.0,,,,,,
2022-01-14,51.0,14.0,22.0,10.0,1.0,2.0,,,,,,
2022-01-15,47.0,37.0,5.0,19.0,1.0,6.0,,,,,,
2022-01-16,103.0,13.0,19.0,6.0,1.0,2.0,,,,,,
2022-01-17,42.0,11.0,22.0,6.0,1.0,2.0,,,,,,
2022-01-18,35.0,30.0,7.0,20.0,1.0,4.0,,,,,,
2022-01-19,76.0,20.0,20.0,14.000000000000002,1.0,3.0,,,,,,
2022-01-20,56.0,8.0,23.0,5.0,1.0,1.0,,,,,,
2022-01-21,23.0,6.0,24.0,4.0,1.0,2.0,,,,,,
2022-01-22,21.0,10.0,22.0,8.0,1.0,2.0,,,,,,
2022-01-23,37.0,23.0,15.0,15.0,2.0,4.0,,,,,,
2022-01-24,66.0,40.0,7.0,22.0,2.0,5.0,,,,,,
2022-01-25,98.0,24.0,1.9999999999999998,11.0,2.0,3.0,,,,,,
2022-01-26,74.0,23.0,9.0,11.0,1.7500000000000002,1.0,,,,,,
2022-01-27,69.0,11.0,15.999999999999998,5.0,1.5000000000000002,1.0,,,,,,
2022-01-28,29.0,8.0,23.0,6.0,1.25,1.0,,,,,,
2022-01-29,31.0,7.0,30.0,4.0,1.0,1.0,,,,,,
2022-01-30,25.0,13.0,29.0,8.0,1.0,1.0,,,,,,
2022-01-31,38.0,13.0,22.0,9.0,1.0,1.0,,,,,,
2022-02-01,48.0,6.0,26.0,8.0,1.0,1.0,,,,,,
2022-02-02,23.0,13.0,24.0,12.0,1.0,2.0,,,,,,
2022-02-03,30.0,30.0,15.999999999999998,21.0,3.0,3.0,,,,,,
2022-02-04,71.0,23.0,0.9999999999999999,14.000000000000002,3.0,4.0,,,,,,
2022-02-05,61.0,6.0,21.0,8.0,1.0,2.0,,,,,,
2022-02-06,21.0,8.0,28.0,6.0,1.0,1.0,,,,,,
2022-02-07,29.0,7.0,25.0,5.0,1.0,2.0,,,,,,
2022-02-08,25.0,9.0,22.0,10.0,1.0,2.0,,,,,,
2022-02-09,24.0,33.0,14.0,23.0,2.0,6.0,,,,,,
2022-02-10,80.0,30.0,21.0,20.0,1.0,4.0,,,,,,
2022-02-11,73.0,12.0,20.22222222222222,10.0,1.1111111111111112,2.0,,,,,,
2022-02-12,38.0,18.0,19.444444444444443,15.0,1.2222222222222223,3.0,,,,,,
2022-02-13,57.0,31.0,18.666666666666664,16.0,1.3333333333333333,4.0,,,,,,
2022-02-14,81.0,30.0,17.88888888888889,17.0,1.4444444444444446,4.0,,,,,,
2022-02-15,81.0,34.0,17.11111111111111,13.0,1.5555555555555556,4.0,,,,,,
2022-02-16,96.0,8.0,16.333333333333332,7.000000000000001,1.666666666666667,3.0,,,,,,
2022-02-17,23.0,10.0,15.555555555555555,11.0,1.777777777777778,3.0,,,,,,
2022-02-18,27.0,8.0,14.777777777777777,6.0,1.8888888888888888,2.0,,,,,,
2022-02-19,26.0,9.0,14.0,12.0,2.0,3.0,,,,,,
2022-02-20,31.0,15.0,9.0,12.0,2.0,3.0,,,,,,
2022-02-21,50.0,8.0,14.0,9.0,2.0,3.0,,,,,,
2022-02-22,25.0,9.0,19.0,12.0,2.0,3.0,,,,,,
2022-02-23,29.0,24.0,26.999999999999996,23.0,2.0,6.0,,,,,,
2022-02-24,57.0,14.0,23.0,12.0,1.0,4.0,,,,,,
2022-02-25,38.0,11.0,26.0,10.0,2.0,4.0,,,,,,
2022-02-26,38.0,14.0,29.0,8.0,1.0,4.0,,,,,,
2022-02-27,49.0,10.0,23.0,7.000000000000001,1.0,4.0,,,,,,
2022-02-28,39.0,11.0,28.0,10.0,1.0,5.0,,,,,,
2022-03-01,39.0,22.0,28.0,16.0,2.0,5.0,,,,,,
2022-03-02,59.0,37.0,25.0,21.0,2.0,6.0,,,,,,
2022-03-03,88.0,39.0,17.0,13.0,2.0,5.0,,,,,,
2022-03-04,101.0,21.0,14.0,11.0,2.0,4.0,,,,,,
2022-03-05,67.0,14.0,15.999999999999998,6.0,2.0,4.0,,,,,,
2022-03-06,54.0,32.0,17.0,14.000000000000002,2.0,6.0,,,,,,
2022-03-07,85.0,23.0,26.999999999999996,15.0,2.0,5.0,,,,,,
2022-03-08,66.0,26.0,26.0,17.0,2.0,4.0,,,,,,
2022-03-09,68.0,19.0,31.999999999999996,12.0,2.0,2.0,,,,,,
2022-03-10,53.0,16.0,31.0,11.0,2.0,4.0,,,,,,
2022-03-11,43.0,19.0,33.0,15.0,2.0,4.0,,,,,,
2022-03-12,55.0,35.0,35.0,24.0,2.0,6.0,,,,,,
2022-03-13,79.0,37.0,36.0,25.0,3.0,6.0,,,,,,
2022-03-14,82.0,39.0,37.0,21.0,5.0,5.0,,,,,,
2022-03-15,89.0,28.0,26.0,13.0,2.0,3.0,,,,,,
2022-03-16,72.0,38.0,29.0,16.0,2.0,3.0,,,,,,
2022-03-17,92.0,42.0,18.0,21.0,2.0,5.0,,,,,,
2022-03-18,109.0,39.5,25.5,19.875,2.5,4.625,,,,,,
2022-03-28,102.87500000000001,37.0,33.0,18.75,3.0,4.25,,,,,,
2022-03-29,96.75,34.5,33.0,17.625,3.0,3.875,,,,,,
2022-03-30,90.625,32.0,23.0,16.499999999999996,2.0,3.5,,,,,,
2022-03-31,84.5,29.499999999999996,14.0,15.375,2.0,3.125,,,,,,
2022-04-01,78.375,27.0,17.0,14.249999999999998,2.0,2.75,,,,,,
2022-04-02,72.25,24.5,33.0,13.124999999999998,1.0,2.375,,,,,,
2022-04-03,66.125,22.0,33.0,12.0,1.0,2.0,,,,,,
2022-04-04,60.0,16.0,35.0,11.0,2.0,2.0,,,,,,
2022-04-05,44.0,18.0,34.861111111111114,17.0,1.9722222222222223,2.0,,,,,,
2022-04-06,44.0,23.0,34.72222222222222,20.0,1.9444444444444444,3.0,,,,,,
2022-04-07,55.0,14.0,34.583333333333336,9.0,1.9166666666666667,2.0,,,,,,
2022-04-08,33.0,5.0,34.44444444444444,6.0,1.888888888888889,1.0,,,,,,
2022-04-09,21.0,6.0,34.30555555555556,4.0,1.8611111111111112,1.0,,,,,,
2022-04-10,25.0,8.0,34.166666666666664,6.0,1.8333333333333335,1.0,,,,,,
2022-04-11,25.0,17.0,34.02777777777778,17.0,1.8055555555555558,2.0,,,,,,
2022-04-12,48.0,23.0,33.88888888888889,19.0,1.777777777777778,2.0,,,,,,
2022-04-13,58.0,26.0,33.75,22.0,1.7500000000000002,3.0,,,,,,
2022-04-14,53.0,21.0,33.611111111111114,16.0,1.7222222222222223,3.0,,,,,,
2022-04-15,51.0,7.0,33.47222222222222,5.0,1.6944444444444446,1.0,,,,,,
2022-04-16,28.0,5.0,33.333333333333336,4.0,1.666666666666667,1.0,,,,,,
2022-04-17,19.0,7.0,33.19444444444445,5.0,1.6388888888888888,1.0,,,,,,
2022-04-18,27.0,14.0,33.05555555555556,10.0,1.6111111111111112,1.0,,,,,,
2022-04-19,51.0,18.0,32.91666666666667,11.0,1.5833333333333333,2.0,,,,,,
2022-04-20,59.0,30.0,32.77777777777778,22.0,1.5555555555555556,4.0,,,,,,
2022-04-21,72.0,26.0,32.638888888888886,19.0,1.527777777777778,4.0,,,,,,
2022-04-22,68.0,18.0,32.5,9.0,1.5000000000000002,4.0,,,,,,
2022-04-23,61.0,16.0,32.361111111111114,10.0,1.4722222222222223,4.0,,,,,,
