date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-11-14,119.0,41.0,1.9999999999999998,17.0,2.0,7.0,,,,,,
2021-11-15,105.0,50.0,3.9999999999999996,21.0,2.0,7.0,,,,,,
2021-11-16,129.0,46.0,7.0,19.0,2.0,5.0,,,,,,
2021-11-17,119.0,18.0,9.0,9.0,2.0,3.0,,,,,,
2021-11-18,55.0,11.0,15.0,9.0,1.0,3.0,,,,,,
2021-11-19,46.0,10.0,17.0,7.000000000000001,1.0,2.0,,,,,,
2021-11-20,39.0,28.0,6.0,17.0,1.0,5.0,,,,,,
2021-11-21,79.0,32.0,3.0,12.0,1.0,4.0,,,,,,
2021-11-22,89.0,19.0,13.0,12.0,1.0,3.0,,,,,,
2021-11-23,58.0,40.0,5.0,23.0,1.0,6.0,,,,,,
2021-11-24,88.0,46.0,3.0,18.0,1.0,6.0,,,,,,
2021-11-25,113.0,26.0,0.9999999999999999,15.0,1.0,4.0,,,,,,
2021-11-26,77.0,19.0,4.666666666666666,11.0,1.0,3.0,,,,,,
2021-11-27,64.0,20.0,8.333333333333334,10.0,1.0,3.0,,,,,,
2021-11-28,64.0,15.0,12.0,7.000000000000001,1.0,3.0,,,,,,
2021-11-29,56.0,10.0,14.0,8.0,1.0,3.0,,,,,,
2021-11-30,36.0,10.0,14.0,15.0,1.0,3.0,,,,,,
2021-12-01,29.0,12.0,7.999999999999999,22.0,1.0,4.0,,,,,,
2021-12-02,40.0,11.0,15.999999999999998,9.0,1.0,3.0,,,,,,
2021-12-03,36.0,31.0,7.0,22.0,1.0,7.0,,,,,,
2021-12-04,80.0,31.0,3.9999999999999996,11.0,3.0,5.0,,,,,,
2021-12-05,93.0,17.0,6.0,10.0,1.0,5.0,,,,,,
2021-12-06,61.0,25.0,3.9999999999999996,9.0,1.0,5.0,,,,,,
2021-12-07,75.0,35.0,5.0,17.0,1.0,7.0,,,,,,
2021-12-08,94.0,24.0,6.0,13.0,1.0,5.0,,,,,,
2021-12-09,77.0,17.0,7.999999999999999,15.0,1.0,5.0,,,,,,
2021-12-10,66.0,18.0,13.0,9.0,1.0,5.0,,,,,,
2021-12-11,63.0,15.0,21.0,7.000000000000001,1.0,4.0,,,,,,
2021-12-12,54.0,20.0,10.0,14.000000000000002,1.0,4.0,,,,,,
2021-12-13,65.0,41.0,1.9999999999999998,26.0,1.0,10.0,,,,,,
2021-12-14,105.0,49.0,0.9999999999999999,24.0,1.0,9.0,,,,,,
2021-12-15,128.0,34.0,3.9999999999999996,17.0,1.0,6.0,,,,,,
2021-12-16,98.0,10.0,18.0,6.0,1.0,1.0,,,,,,
2021-12-17,35.0,10.0,19.0,7.000000000000001,1.0,1.0,,,,,,
2021-12-18,42.0,12.0,15.999999999999998,5.0,1.0,1.0,,,,,,
