,pm25,pm10,o3,no2,so2,co,date
358,0.40625,0.22916666666666666,0.3469387755102041,0.24,0.2,0.3,2021-12-18
359,0.4479166666666667,0.10416666666666667,0.3673469387755102,0.32,0.2,0.2,2021-12-19
360,0.20833333333333334,0.1875,0.3877551020408163,0.6,0.2,0.3,2021-12-20
361,0.3020833333333333,0.5,0.24489795918367346,0.8,0.2,0.5,2021-12-21
362,0.71875,0.5625,0.30612244897959184,0.72,0.6,0.5,2021-12-22
363,0.8020833333333334,0.6875,0.16326530612244897,0.6,0.4,0.5,2021-12-23
364,0.9895833333333334,0.3125,0.4897959183673469,0.48,0.2,0.5,2021-12-24
365,0.5833333333333334,0.25,0.4897959183673469,0.52,0.2,0.5,2021-12-25
366,0.3645833333333333,0.5208333333333334,0.22448979591836735,0.92,0.2,0.6,2021-12-26
367,0.7604166666666666,0.375,0.24489795918367346,0.44,0.2,0.6,2021-12-27
368,0.625,0.3958333333333333,0.10204081632653061,0.48,0.2,0.7,2021-12-28
369,0.6770833333333334,0.4166666666666667,0.10204081632653061,0.44,0.2,0.7,2021-12-29
370,0.6458333333333334,0.4375,0.1836734693877551,0.6,0.2,0.8,2021-12-30
371,0.6770833333333334,0.3333333333333333,0.3469387755102041,0.32,0.2,0.5,2021-12-31
372,0.4895833333333333,0.22916666666666666,0.30612244897959184,0.44,0.2,0.6,2022-01-01
373,0.4479166666666667,0.2708333333333333,0.40816326530612246,0.6,0.2,0.6,2022-01-02
251,0.4375,0.2708333333333333,0.3469387755102041,0.44,0.2,0.6,2022-01-03
252,0.4791666666666667,0.14583333333333334,0.46938775510204084,0.52,0.2,0.5,2022-01-04
253,0.2604166666666667,0.10416666666666667,0.42857142857142855,0.28,0.2,0.5,2022-01-05
254,0.17708333333333334,0.2708333333333333,0.32653061224489793,0.6,0.2,0.6,2022-01-06
255,0.46875,0.6458333333333334,0.22448979591836735,0.92,0.2,0.9,2022-01-07
256,0.90625,0.7291666666666666,0.2857142857142857,0.68,0.2,0.8,2022-01-08
257,1.03125,0.6875,0.3469387755102041,0.84,0.2,0.6,2022-01-09
258,0.9583333333333334,0.3541666666666667,0.40816326530612246,0.52,0.2,0.1,2022-01-10
259,0.53125,0.5416666666666666,0.2653061224489796,0.8,0.2,0.3,2022-01-11
260,0.7604166666666666,0.7291666666666666,0.30612244897959184,0.84,0.2,0.4,2022-01-12
261,0.9895833333333334,0.2708333333333333,0.3469387755102041,0.4,0.2,0.1,2022-01-13
262,0.4895833333333333,0.2916666666666667,0.42857142857142855,0.56,0.2,0.2,2022-01-14
263,0.4895833333333333,0.7083333333333334,0.20408163265306123,0.64,0.2,0.5,2022-01-15
264,1.0416666666666667,0.3333333333333333,0.5510204081632653,0.36,0.2,0.1,2022-01-16
265,0.4479166666666667,0.1875,0.4897959183673469,0.36,0.2,0.1,2022-01-17
266,0.3125,0.625,0.1836734693877551,1.0,0.2,0.4,2022-01-18
267,0.8333333333333334,0.4166666666666667,0.40816326530612246,0.64,0.2,0.3,2022-01-19
268,0.6145833333333334,0.14583333333333334,0.46938775510204084,0.32,0.2,0.1,2022-01-20
269,0.20833333333333334,0.125,0.5102040816326531,0.28,0.2,0.1,2022-01-21
270,0.19791666666666666,0.22916666666666666,0.4489795918367347,0.44,0.2,0.2,2022-01-22
271,0.3645833333333333,0.5833333333333334,0.30612244897959184,0.88,0.2,0.4,2022-01-23
272,0.7604166666666666,0.7708333333333334,0.12244897959183673,0.92,0.2,0.6,2022-01-24
273,1.0,0.5833333333333334,0.24489795918367346,0.64,0.2,0.5,2022-01-25
274,0.8645833333333334,0.4791666666666667,0.2653061224489796,0.48,0.2,0.3,2022-01-26
275,0.7083333333333334,0.22916666666666666,0.5306122448979592,0.28,0.2,0.2,2022-01-27
276,0.2708333333333333,0.16666666666666666,0.2857142857142857,0.28,0.2,0.3,2022-01-28
277,0.2708333333333333,0.14583333333333334,0.12244897959183673,0.28,0.2,0.3,2022-01-29
278,0.19791666666666666,0.3333333333333333,0.08163265306122448,0.36,0.2,0.3,2022-01-30
279,0.4479166666666667,0.2916666666666667,0.04081632653061224,0.36,0.2,0.4,2022-01-31
223,0.5208333333333334,0.14583333333333334,0.08163265306122448,0.32,0.2,0.3,2022-02-01
224,0.28125,0.2708333333333333,0.061224489795918366,0.36,0.2,0.5,2022-02-02
225,0.34375,0.5208333333333334,0.04081632653061224,0.36,0.6,0.6,2022-02-03
226,0.6875,0.5,0.061224489795918366,0.36,0.2,0.6,2022-02-04
227,0.625,0.3541666666666667,0.02040816326530612,0.44,0.2,0.7,2022-02-05
228,0.5520833333333334,0.16666666666666666,0.10204081632653061,0.32,0.2,0.3,2022-02-06
229,0.2916666666666667,0.14583333333333334,0.08163265306122448,0.28,0.2,0.3,2022-02-07
230,0.22916666666666666,0.22916666666666666,0.04081632653061224,0.32,0.2,0.5,2022-02-08
231,0.3229166666666667,0.7083333333333334,0.02040816326530612,0.36,0.2,0.8,2022-02-09
232,0.875,0.5833333333333334,0.04081632653061224,0.4,0.2,0.5,2022-02-10
233,0.7604166666666666,0.1875,0.08163265306122448,0.24,0.2,0.3,2022-02-11
234,0.375,0.3541666666666667,0.08163265306122448,0.32,0.4,0.4,2022-02-12
235,0.59375,0.5416666666666666,0.08163265306122448,0.36,0.8,0.4,2022-02-13
236,0.78125,0.5,0.04081632653061224,0.32,0.4,0.4,2022-02-14
237,0.7395833333333334,0.5416666666666666,0.02040816326530612,0.28,0.2,0.5,2022-02-15
238,0.78125,0.22916666666666666,0.08163265306122448,0.28,0.2,0.4,2022-02-16
239,0.3541666666666667,0.22916666666666666,0.10204081632653061,0.28,0.2,0.3,2022-02-17
240,0.2604166666666667,0.14583333333333334,0.061224489795918366,0.24,0.2,0.4,2022-02-18
241,0.25,0.22916666666666666,0.04081632653061224,0.32,0.2,0.4,2022-02-19
242,0.3958333333333333,0.3125,0.04081632653061224,0.28,0.2,0.3,2022-02-20
243,0.5104166666666666,0.16666666666666666,0.04081632653061224,0.28,0.2,0.2,2022-02-21
244,0.2604166666666667,0.20833333333333334,0.4897959183673469,0.32,0.2,0.3,2022-02-22
